SOURCE	TARGET	LABEL
1679	153755	DAM
1680	110521	DAM
1681	92326	DAM
1682	131644	DAM
1684	188020	DAM
1685	55412	DAM
1687	178703	DAM
1688	153363	DAM
1689	184956	DAM
1690	128056	DAM
1691	138705	DAM
1692	72500	DAM
1693	190988	DAM
1695	143089	DAM
1698	135004	DAM
1699	178242	DAM
1701	188842	DAM
1702	102311	DAM
1703	3232	DAM
1708	11150	DAM
1710	70866	DAM
1711	18721	DAM
1712	23092	DAM
1713	1716	DAM
1714	1719	DAM
1719	1722	DAM
1722	1724	DAM
1723	1719	DAM
1725	38498	DAM
1728	178103	DAM
1731	130979	DAM
1732	130979	DAM
1733	130979	DAM
1735	130979	DAM
1737	189085	DAM
1740	38353	DAM
1741	1742	DAM
1742	137254	DAM
1743	149606	DAM
1745	20120	DAM
1748	87079	DAM
1749	146526	DAM
1751	43557	DAM
1754	1752	DAM
1756	21635	DAM
1757	159701	DAM
1758	21635	DAM
1759	185850	DAM
1762	157579	DAM
1764	1054	DAM
1766	161488	DAM
1767	59407	DAM
1768	118143	DAM
1769	74387	DAM
1770	64117	DAM
1771	52673	DAM
1772	163682	DAM
1773	43292	DAM
1774	9981	DAM
